,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
108,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.9802,3.0,flower4.jpg,flower4_pair.jpg,left,A2CXF9V4KEA8AW
109,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.0696,4.0,flower5_pair.jpg,flower5.jpg,right,A2CXF9V4KEA8AW
110,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.7331,5.0,flower6.jpg,flower6_pair.jpg,left,A2CXF9V4KEA8AW
111,10,6.0,flower6.jpg,,,,,,,,,,,,A2CXF9V4KEA8AW
112,4,0.0,flower1.jpg,,,,12.0,right,0.0,10.744,0.0,flower1.jpg,flower1_pair.jpg,left,A2S95C6RJJBD29
113,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.2658,1.0,flower2_pair.jpg,flower2.jpg,right,A2S95C6RJJBD29
114,6,2.0,left.jpg,left,1.3359,left,14.0,left,1.0,1.5659,2.0,flower3.jpg,flower3_pair.jpg,left,A2S95C6RJJBD29
115,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.0754,3.0,flower4.jpg,flower4_pair.jpg,left,A2S95C6RJJBD29
116,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.3457,4.0,flower5_pair.jpg,flower5.jpg,right,A2S95C6RJJBD29
117,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.845,5.0,flower6.jpg,flower6_pair.jpg,left,A2S95C6RJJBD29
118,10,6.0,flower6.jpg,,,,,,,,,,,,A2S95C6RJJBD29
119,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.1338,0.0,flower1.jpg,flower1_pair.jpg,left,A2TCX20FIMNWSS
