,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
77,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.847,0.0,flower1.jpg,flower1_pair.jpg,left,AOOLS8280CL0Z
78,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.8948,1.0,flower2_pair.jpg,flower2.jpg,right,AOOLS8280CL0Z
79,6,2.0,left.jpg,left,0.6296,left,14.0,left,1.0,2.2086,2.0,flower3.jpg,flower3_pair.jpg,left,AOOLS8280CL0Z
80,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.8036,3.0,flower4.jpg,flower4_pair.jpg,left,AOOLS8280CL0Z
81,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.9972,4.0,flower5_pair.jpg,flower5.jpg,right,AOOLS8280CL0Z
82,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.5934,5.0,flower6.jpg,flower6_pair.jpg,left,AOOLS8280CL0Z
83,10,6.0,flower6.jpg,,,,,,,,,,,,AOOLS8280CL0Z
84,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.341,0.0,flower1.jpg,flower1_pair.jpg,left,AW5O1RK3W60FC
85,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.3901,1.0,flower2_pair.jpg,flower2.jpg,right,AW5O1RK3W60FC
86,6,2.0,left.jpg,left,0.9778,left,14.0,left,1.0,2.2824,2.0,flower3.jpg,flower3_pair.jpg,left,AW5O1RK3W60FC
87,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.8791,3.0,flower4.jpg,flower4_pair.jpg,left,AW5O1RK3W60FC
88,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.7715,4.0,flower5_pair.jpg,flower5.jpg,right,AW5O1RK3W60FC
89,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.0344,5.0,flower6.jpg,flower6_pair.jpg,left,AW5O1RK3W60FC
90,10,6.0,flower6.jpg,,,,,,,,,,,,AW5O1RK3W60FC
91,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.9031,0.0,flower1.jpg,flower1_pair.jpg,left,AY3JOEWZT0APP
92,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.5581,1.0,flower2_pair.jpg,flower2.jpg,right,AY3JOEWZT0APP
93,6,2.0,left.jpg,left,1.2588,left,14.0,left,1.0,1.6496,2.0,flower3.jpg,flower3_pair.jpg,left,AY3JOEWZT0APP
94,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2873,3.0,flower4.jpg,flower4_pair.jpg,left,AY3JOEWZT0APP
95,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.2849,4.0,flower5_pair.jpg,flower5.jpg,right,AY3JOEWZT0APP
96,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.1882,5.0,flower6.jpg,flower6_pair.jpg,left,AY3JOEWZT0APP
97,10,6.0,flower6.jpg,,,,,,,,,,,,AY3JOEWZT0APP
