image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,distractor_level
INDIGO_BUNTING_1.jpg,POMARINE_JAEGER_5.jpg,0.37186673,0.29019344,0.19942579,0.1366323,0.101763085,0.17083767,0.10575518,0
INDIGO_BUNTING_1.jpg,SKUA_2.jpg,0.27526608,0.28375232,0.2045761,0.21175608,0.2574368,0.2545502,0.15231839,1
BALTIMORE_ORIOLE_4.jpg,INDIGO_BUNTING_1.jpg,0.2622478,0.26329392,0.18163699,0.16165642,0.30627468,0.4354329,0.4411305,2
CALIFORNIA_CONDOR_4.jpg,INLAND_DOTTEREL_4.jpg,0.35033444,0.31166336,0.21806222,0.11882451,0.12025209,0.14057422,0.13615732,0
COCK_OF_THE__ROCK_5.jpg,INLAND_DOTTEREL_4.jpg,0.23632298,0.2712088,0.21146998,0.23905173,0.16971694,0.15798885,0.139463,1
ANNAS_HUMMINGBIRD_2.jpg,INLAND_DOTTEREL_4.jpg,0.2772732,0.26840612,0.18484654,0.14673273,0.2634639,0.3797739,0.47018892,2
IVORY_GULL_1.jpg,OCELLATED_TURKEY_2.jpg,0.33218208,0.26154408,0.17800607,0.13196029,0.0977435,0.14734793,0.1227544,0
IVORY_GULL_1.jpg,RED_FODY_1.jpg,0.2882234,0.27425712,0.21565439,0.2671836,0.2480891,0.2240038,0.14587308,1
BANDED_STILT_4.jpg,IVORY_GULL_1.jpg,0.28440028,0.24685903,0.1770024,0.15187111,0.34815496,0.45575425,0.4406702,2
BUSH_TURKEY_1.jpg,IVORY_GULL_3.jpg,0.3264661,0.27693903,0.19212408,0.101218544,0.09039951,0.14010297,0.12785113,0
CACTUS_WREN_1.jpg,IVORY_GULL_3.jpg,0.2621419,0.2536752,0.25480503,0.30854735,0.32456547,0.31359407,0.259866,1
FAN_TAILED_WIDOW_1.jpg,IVORY_GULL_3.jpg,0.2329536,0.22644843,0.1981933,0.17248969,0.18757337,0.3621515,0.3449754,2
BANANAQUIT_2.jpg,KAGU_5.jpg,0.600212,0.34505516,0.20037116,0.14135133,0.19217558,0.2930611,0.3316391,0
KAGU_5.jpg,MANDRIN_DUCK_4.jpg,0.22379708,0.28834763,0.21073285,0.17687006,0.21520053,0.21029685,0.20004752,1
KAGU_5.jpg,VICTORIA_CROWNED_PIGEON_5.jpg,0.23930897,0.2843848,0.20671353,0.14400549,0.11371687,0.327354,0.4388741,2
GOLDEN_CHLOROPHONIA_2.jpg,KILLDEAR_2.jpg,0.54580027,0.3616505,0.19630045,0.10628634,0.116741486,0.31618735,0.24204402,0
CHATTERING_LORY_1.jpg,KILLDEAR_2.jpg,0.2772589,0.3515094,0.21918267,0.16535595,0.17997828,0.22063923,0.18139224,1
KILLDEAR_2.jpg,WHITE_TAILED_TROPIC_2.jpg,0.25465038,0.22824113,0.14797327,0.15930666,0.28883338,0.40369353,0.38441563,2
KING_VULTURE_5.jpg,LARK_BUNTING_2.jpg,0.34309044,0.27341083,0.18018483,0.12746242,0.11018223,0.09181352,0.09477455,0
CHARA_DE_COLLAR_4.jpg,LARK_BUNTING_2.jpg,0.30763575,0.27946714,0.22963734,0.27835777,0.3626522,0.22699441,0.19462243,1
GRANDALA_4.jpg,LARK_BUNTING_2.jpg,0.26496026,0.1975469,0.15413316,0.14521202,0.1932295,0.42791456,0.44196787,2
DOUBLE_EYED_FIG_PARROT_4.jpg,LESSER_ADJUTANT_4.jpg,0.5407189,0.36826804,0.21434546,0.13152814,0.07696504,0.15876038,0.172035,0
CHATTERING_LORY_2.jpg,LESSER_ADJUTANT_4.jpg,0.28263006,0.2955279,0.20265569,0.19188428,0.20240131,0.20166,0.17915499,1
CRAB_PLOVER_4.jpg,LESSER_ADJUTANT_4.jpg,0.29593745,0.2931927,0.19767082,0.16710195,0.29537404,0.35349897,0.36947128,2
LESSER_ADJUTANT_5.jpg,MALAGASY_WHITE_EYE_2.jpg,0.5697057,0.28851303,0.1641081,0.10703247,0.10116236,0.21768525,0.20793127,0
CANARY_4.jpg,LESSER_ADJUTANT_5.jpg,0.30561918,0.3119735,0.23376717,0.20446004,0.19207183,0.14366832,0.12194644,1
CASPIAN_TERN_2.jpg,LESSER_ADJUTANT_5.jpg,0.2426904,0.24376063,0.16698274,0.15011625,0.23983288,0.30241632,0.41288203,2
LITTLE_AUK_5.jpg,SCARLET_IBIS_1.jpg,0.34866986,0.29781842,0.1864204,0.12110782,0.09413288,0.11527918,0.11010787,0
LILAC_ROLLER_5.jpg,LITTLE_AUK_5.jpg,0.36486664,0.34294567,0.27957943,0.30228677,0.32428133,0.2542309,0.2417638,1
DOWNY_WOODPECKER_1.jpg,LITTLE_AUK_5.jpg,0.2731921,0.24906637,0.1920153,0.14413147,0.28023723,0.39045498,0.4301785,2
MAGPIE_GOOSE_5.jpg,MALAGASY_WHITE_EYE_1.jpg,0.5659018,0.36999786,0.19728118,0.11528939,0.12902926,0.19093524,0.14652143,0
LILAC_ROLLER_2.jpg,MAGPIE_GOOSE_5.jpg,0.26230943,0.2561779,0.18523489,0.16373809,0.2040026,0.11689256,0.08678364,1
MAGPIE_GOOSE_5.jpg,WOOD_DUCK_5.jpg,0.2724546,0.28945965,0.19787051,0.14775434,0.17383094,0.32303107,0.3944647,2
GANG_GANG_COCKATOO_4.jpg,MALACHITE_KINGFISHER_2.jpg,0.44212112,0.3234075,0.21727249,0.15356584,0.19562541,0.32055232,0.3038887,0
COCKATOO_2.jpg,MALACHITE_KINGFISHER_2.jpg,0.28634128,0.27601564,0.20969623,0.14939113,0.1177373,0.13931149,0.118731104,1
JAVA_SPARROW_5.jpg,MALACHITE_KINGFISHER_2.jpg,0.21320693,0.25319734,0.18567139,0.1421838,0.18289621,0.4080878,0.43872267,2
DEMOISELLE_CRANE_3.jpg,MCKAYS_BUNTING_3.jpg,0.3757166,0.32827047,0.2153515,0.11565762,0.06716822,0.16308114,0.14307372,0
MCKAYS_BUNTING_3.jpg,PAINTED_BUNTING_1.jpg,0.31887063,0.32541612,0.24373771,0.23952414,0.20216705,0.18599015,0.14928247,1
MCKAYS_BUNTING_3.jpg,PALILA_5.jpg,0.2947795,0.31056312,0.23465732,0.16072223,0.27245772,0.4052989,0.44294125,2
MYNA_1.jpg,OSTRICH_2.jpg,0.38942876,0.33048257,0.19820194,0.14444637,0.16752978,0.21990885,0.19948177,0
GRAY_PARTRIDGE_5.jpg,MYNA_1.jpg,0.34182206,0.31531864,0.24429081,0.20856449,0.25724253,0.22135434,0.22447395,1
INDIGO_BUNTING_2.jpg,MYNA_1.jpg,0.21491057,0.2756809,0.20028436,0.1523413,0.19023496,0.3533911,0.40570176,2
NICOBAR_PIGEON_1.jpg,NORTHERN_MOCKINGBIRD_4.jpg,0.5349828,0.34705,0.22437048,0.1949889,0.22357862,0.21775885,0.2019354,0
GREY_PLOVER_5.jpg,NICOBAR_PIGEON_1.jpg,0.36597812,0.35387152,0.25151244,0.21917307,0.22990367,0.18840788,0.15610954,1
