,target_image,layer1,layer2,layer3,layer1_2nd_best,layer2_2nd_best,layer3_2nd_best
57,RUBY_THROATED_HUMMINGBIRD_2.jpg,GOLDEN_PARAKEET_2.jpg,APAPANE_4.jpg,DUSKY_ROBIN_5.jpg,GREEN_JAY_2.jpg,SCARLET_MACAW_3.jpg,EURASIAN_MAGPIE_3.jpg
58,RUBY_THROATED_HUMMINGBIRD_3.jpg,WHITE_CHEEKED_TURACO_4.jpg,MYNA_5.jpg,NORTHERN_SHOVELER_1.jpg,MALABAR_HORNBILL_5.jpg,GOLDEN_EAGLE_2.jpg,WALL_CREAPER_3.jpg
59,RUFOUS_KINGFISHER_1.jpg,BLACK_VENTED_SHEARWATER_2.jpg,MAGPIE_GOOSE_3.jpg,HORNED_SUNGEM_4.jpg,BANDED_STILT_3.jpg,COCKATOO_5.jpg,GREEN_JAY_4.jpg
60,SCARLET_TANAGER_2.jpg,CARMINE_BEE-EATER_1.jpg,LITTLE_AUK_3.jpg,BORNEAN_LEAFBIRD_1.jpg,BIRD_OF_PARADISE_3.jpg,CALIFORNIA_QUAIL_5.jpg,BLONDE_CRESTED_WOODPECKER_3.jpg
61,SHOEBILL_3.jpg,MALAGASY_WHITE_EYE_3.jpg,GILDED_FLICKER_5.jpg,BALD_EAGLE_5.jpg,EMERALD_TANAGER_3.jpg,IWI_1.jpg,BALD_IBIS_3.jpg
62,SKUA_4.jpg,SNOWY_EGRET_5.jpg,PARUS_MAJOR_2.jpg,ROADRUNNER_5.jpg,BLACK-NECKED_GREBE_3.jpg,PURPLE_FINCH_4.jpg,AMERICAN_WIGEON_2.jpg
63,SPLENDID_WREN_1.jpg,PARAKETT__AKULET_3.jpg,DOUBLE_BRESTED_CORMARANT_1.jpg,CUBAN_TODY_4.jpg,BLACK_SWAN_1.jpg,BLACK_SWAN_2.jpg,CRESTED_KINGFISHER_4.jpg
64,STRIPPED_SWALLOW_1.jpg,EMPEROR_PENGUIN_5.jpg,MAGPIE_GOOSE_4.jpg,GO_AWAY_BIRD_5.jpg,BRANDT_CORMARANT_3.jpg,ANDEAN_GOOSE_1.jpg,WHITE_THROATED_BEE_EATER_5.jpg
65,TASMANIAN_HEN_5.jpg,BLACKBURNIAM_WARBLER_3.jpg,AFRICAN_EMERALD_CUCKOO_5.jpg,COPPERY_TAILED_COUCAL_1.jpg,CREAM_COLORED_WOODPECKER_4.jpg,BORNEAN_PHEASANT_2.jpg,AUCKLAND_SHAQ_2.jpg
66,TREE_SWALLOW_4.jpg,RED_HEADED_DUCK_5.jpg,ROBIN_3.jpg,RED_FODY_3.jpg,DALMATIAN_PELICAN_3.jpg,CALIFORNIA_GULL_1.jpg,BORNEAN_LEAFBIRD_4.jpg
67,VERMILION_FLYCATHER_3.jpg,INDIAN_BUSTARD_1.jpg,CROWNED_PIGEON_1.jpg,RED_BEARDED_BEE_EATER_1.jpg,SATYR_TRAGOPAN_1.jpg,LITTLE_AUK_4.jpg,PARADISE_TANAGER_4.jpg
68,WHITE_CHEEKED_TURACO_5.jpg,CHINESE_POND_HERON_1.jpg,SNOWY_EGRET_1.jpg,PYGMY_KINGFISHER_2.jpg,CHARA_DE_COLLAR_2.jpg,ORIENTAL_BAY_OWL_5.jpg,MALAGASY_WHITE_EYE_5.jpg
