button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,mountain_110.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,12,12,1,badlands_137.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,13,13,13,1,right.jpg,,right,2.6067,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,playground_145.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,golf_course_15.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,bridge_250.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,bridge_91.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,badlands_24.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,mountain_57.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,badlands_23.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,mountain_156.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22,22,22,1,golf_course_188.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,23,23,23,1,right.jpg,,right,0.1224,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,24,24,1,highway_93.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,golf_course_195.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,mountain_101.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,highway_209.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,golf_course_87.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,mountain_154.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,30,30,30,1,right.jpg,,right,0.0098,,,,,,,,,,,,,,,,,
,,,A1SRSP0X39CGRW,30,male,12,2023-03-29_12h21.59.479,memory_pilot_most_recent,2022.2.4,Win32,10.75592652,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,31,31,1,playground_257.jpg,playground,,,,,,,,,,,,,,,,,,,
