,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
164,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.7816,3.0,flower4.jpg,flower4_pair.jpg,left,6.0,A3HQXCWOIQKT4F
165,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.9674,4.0,flower5_pair.jpg,flower5.jpg,right,4.0,A3HQXCWOIQKT4F
166,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.6141,5.0,flower6.jpg,flower6_pair.jpg,left,5.0,A3HQXCWOIQKT4F
167,10,6.0,flower6.jpg,,,,,,,,,,,,,A3HQXCWOIQKT4F
168,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.1616,0.0,flower1.jpg,flower1_pair.jpg,left,7.0,AFET5KYTUA4TY
169,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.3949,1.0,flower2_pair.jpg,flower2.jpg,right,7.0,AFET5KYTUA4TY
170,6,2.0,left.jpg,left,0.9892,left,14.0,left,1.0,1.9331,2.0,flower3.jpg,flower3_pair.jpg,left,6.0,AFET5KYTUA4TY
171,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.3331,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,AFET5KYTUA4TY
172,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.5183,4.0,flower5_pair.jpg,flower5.jpg,right,5.0,AFET5KYTUA4TY
173,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.8891,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,AFET5KYTUA4TY
174,10,6.0,flower6.jpg,,,,,,,,,,,,,AFET5KYTUA4TY
175,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.2155,0.0,flower1.jpg,flower1_pair.jpg,left,6.0,A1XJCKXP143Y94
176,5,1.0,flower2.jpg,,,,13.0,right,1.0,14.9841,1.0,flower2_pair.jpg,flower2.jpg,right,5.0,A1XJCKXP143Y94
177,6,2.0,left.jpg,left,0.7596,left,14.0,left,1.0,2.424,2.0,flower3.jpg,flower3_pair.jpg,left,3.0,A1XJCKXP143Y94
178,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.3555,3.0,flower4.jpg,flower4_pair.jpg,left,3.0,A1XJCKXP143Y94
179,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.2234,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A1XJCKXP143Y94
180,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.7906,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A1XJCKXP143Y94
181,10,6.0,flower6.jpg,,,,,,,,,,,,,A1XJCKXP143Y94
182,4,0.0,flower1.jpg,,,,12.0,right,0.0,8.0144,0.0,flower1.jpg,flower1_pair.jpg,left,9.0,A2U44IH2MUK32A
183,5,1.0,flower2.jpg,,,,13.0,right,1.0,13.9947,1.0,flower2_pair.jpg,flower2.jpg,right,9.0,A2U44IH2MUK32A
184,6,2.0,left.jpg,left,1.7484,left,14.0,right,0.0,1.844,2.0,flower3.jpg,flower3_pair.jpg,left,9.0,A2U44IH2MUK32A
185,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.0132,3.0,flower4.jpg,flower4_pair.jpg,left,7.0,A2U44IH2MUK32A
