,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
102,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.1957,4.0,flower5_pair.jpg,flower5.jpg,right,AK8ONB60Q4RJ5
103,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.3003,5.0,flower6.jpg,flower6_pair.jpg,left,AK8ONB60Q4RJ5
104,10,6.0,flower6.jpg,,,,,,,,,,,,AK8ONB60Q4RJ5
105,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.1853,0.0,flower1.jpg,flower1_pair.jpg,left,AQ5CSVCNBPSIJ
106,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.5783,1.0,flower2_pair.jpg,flower2.jpg,right,AQ5CSVCNBPSIJ
107,6,2.0,left.jpg,left,1.2149,left,14.0,left,1.0,2.3632,2.0,flower3.jpg,flower3_pair.jpg,left,AQ5CSVCNBPSIJ
108,7,3.0,flower3.jpg,,,,15.0,right,0.0,3.3566,3.0,flower4.jpg,flower4_pair.jpg,left,AQ5CSVCNBPSIJ
109,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.2167,4.0,flower5_pair.jpg,flower5.jpg,right,AQ5CSVCNBPSIJ
110,9,5.0,flower5.jpg,,,,17.0,right,0.0,2.0783,5.0,flower6.jpg,flower6_pair.jpg,left,AQ5CSVCNBPSIJ
111,10,6.0,flower6.jpg,,,,,,,,,,,,AQ5CSVCNBPSIJ
112,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.893,0.0,flower1.jpg,flower1_pair.jpg,left,AR390VVG2FJKJ
113,5,1.0,flower2.jpg,,,,13.0,left,0.0,3.638,1.0,flower2_pair.jpg,flower2.jpg,right,AR390VVG2FJKJ
114,6,2.0,left.jpg,left,1.186,left,14.0,left,1.0,2.627,2.0,flower3.jpg,flower3_pair.jpg,left,AR390VVG2FJKJ
115,7,3.0,flower3.jpg,,,,15.0,right,0.0,3.927,3.0,flower4.jpg,flower4_pair.jpg,left,AR390VVG2FJKJ
116,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.001,4.0,flower5_pair.jpg,flower5.jpg,right,AR390VVG2FJKJ
117,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.157,5.0,flower6.jpg,flower6_pair.jpg,left,AR390VVG2FJKJ
118,10,6.0,flower6.jpg,,,,,,,,,,,,AR390VVG2FJKJ
119,4,0.0,flower1.jpg,,,,12.0,left,1.0,7.3157,0.0,flower1.jpg,flower1_pair.jpg,left,AW9T591E49DCX
120,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.6988,1.0,flower2_pair.jpg,flower2.jpg,right,AW9T591E49DCX
121,6,2.0,left.jpg,left,2.6982,left,14.0,right,0.0,9.2098,2.0,flower3.jpg,flower3_pair.jpg,left,AW9T591E49DCX
122,7,3.0,flower3.jpg,,,,15.0,left,1.0,3.1879,3.0,flower4.jpg,flower4_pair.jpg,left,AW9T591E49DCX
123,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.5864,4.0,flower5_pair.jpg,flower5.jpg,right,AW9T591E49DCX
124,9,5.0,flower5.jpg,,,,17.0,left,1.0,3.0097,5.0,flower6.jpg,flower6_pair.jpg,left,AW9T591E49DCX
125,10,6.0,flower6.jpg,,,,,,,,,,,,AW9T591E49DCX
126,4,0.0,flower1.jpg,,,,12.0,right,0.0,10.4533,0.0,flower1.jpg,flower1_pair.jpg,left,AWIF3UAIE0O80
127,5,1.0,flower2.jpg,,,,13.0,right,1.0,11.5753,1.0,flower2_pair.jpg,flower2.jpg,right,AWIF3UAIE0O80
128,6,2.0,left.jpg,left,2.1132,left,14.0,right,0.0,1.9147,2.0,flower3.jpg,flower3_pair.jpg,left,AWIF3UAIE0O80
129,7,3.0,flower3.jpg,,,,15.0,right,0.0,6.0995,3.0,flower4.jpg,flower4_pair.jpg,left,AWIF3UAIE0O80
130,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.2769,4.0,flower5_pair.jpg,flower5.jpg,right,AWIF3UAIE0O80
131,9,5.0,flower5.jpg,,,,17.0,right,0.0,0.9976,5.0,flower6.jpg,flower6_pair.jpg,left,AWIF3UAIE0O80
132,10,6.0,flower6.jpg,,,,,,,,,,,,AWIF3UAIE0O80
133,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.2399,0.0,flower1.jpg,flower1_pair.jpg,left,AWRRM9NRX4TZX
134,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.5188,1.0,flower2_pair.jpg,flower2.jpg,right,AWRRM9NRX4TZX
135,6,2.0,left.jpg,left,0.8945,left,14.0,left,1.0,1.4511,2.0,flower3.jpg,flower3_pair.jpg,left,AWRRM9NRX4TZX
136,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.1269,3.0,flower4.jpg,flower4_pair.jpg,left,AWRRM9NRX4TZX
137,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.305,4.0,flower5_pair.jpg,flower5.jpg,right,AWRRM9NRX4TZX
138,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.3757,5.0,flower6.jpg,flower6_pair.jpg,left,AWRRM9NRX4TZX
139,10,6.0,flower6.jpg,,,,,,,,,,,,AWRRM9NRX4TZX
