,workID,Age,Gender,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,test_key_resp.keys,test_key_resp.rt,distractor_level,category,selected_dist,slider_part2.response,slider_part2.rt,subject
37,AFOEARBOY26DU,35,Male,bridge_91.jpg,bridge_82.jpg,bridge_91.jpg,right,mountain_256.jpg,badlands_157.jpg,golf_course_282.jpg,bridge_91.jpg,playground_47.jpg,highway_246.jpg,3.0,right,11.251,1.0,bridge,bridge_82.jpg,6.97260274,1.1587,AFOEARBOY26DU
38,AFOEARBOY26DU,35,Male,golf_course_214.jpg,golf_course_317.jpg,golf_course_214.jpg,right,bridge_102.jpg,highway_147.jpg,playground_30.jpg,mountain_39.jpg,golf_course_214.jpg,badlands_180.jpg,4.0,left,2.9595,1.0,golf,golf_course_317.jpg,5.96194825,1.5069,AFOEARBOY26DU
39,AFOEARBOY26DU,35,Male,playground_60.jpg,playground_60.jpg,playground_268.jpg,left,golf_course_128.jpg,playground_60.jpg,highway_399.jpg,bridge_156.jpg,mountain_146.jpg,badlands_138.jpg,1.0,right,8.0982,0.0,playground,playground_268.jpg,6.936073059,2.0719,AFOEARBOY26DU
40,AFOEARBOY26DU,35,Male,golf_course_193.jpg,golf_course_193.jpg,golf_course_123.jpg,left,golf_course_193.jpg,playground_33.jpg,highway_31.jpg,mountain_143.jpg,badlands_30.jpg,bridge_35.jpg,0.0,left,3.351,1.0,golf,golf_course_123.jpg,6.99695586,0.9809,AFOEARBOY26DU
41,AFOEARBOY26DU,35,Male,golf_course_87.jpg,golf_course_161.jpg,golf_course_87.jpg,right,playground_16.jpg,highway_3.jpg,badlands_9.jpg,bridge_224.jpg,golf_course_87.jpg,mountain_302.jpg,4.0,right,1.7061,1.0,golf,golf_course_161.jpg,6.04718417,2.2207,AFOEARBOY26DU
42,AFOEARBOY26DU,35,Male,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,bridge_39.jpg,highway_78.jpg,golf_course_217.jpg,playground_246.jpg,badlands_219.jpg,mountain_87.jpg,2.0,right,2.3594,0.0,golf,golf_course_35.jpg,6.071537291,1.7302,AFOEARBOY26DU
43,AFOEARBOY26DU,35,Male,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,bridge_155.jpg,golf_course_338.jpg,playground_241.jpg,mountain_230.jpg,highway_404.jpg,badlands_85.jpg,3.0,left,3.1817,1.0,mountain,mountain_97.jpg,6.899543379,1.5151,AFOEARBOY26DU
44,AFOEARBOY26DU,35,Male,highway_394.jpg,highway_394.jpg,highway_406.jpg,left,mountain_91.jpg,highway_394.jpg,badlands_104.jpg,playground_162.jpg,bridge_106.jpg,golf_course_164.jpg,1.0,right,1.5614,1.0,highway,highway_406.jpg,6.96042618,0.9594,AFOEARBOY26DU
45,AFOEARBOY26DU,35,Male,playground_10.jpg,playground_12.jpg,playground_10.jpg,right,bridge_79.jpg,golf_course_342.jpg,playground_10.jpg,mountain_160.jpg,badlands_44.jpg,highway_257.jpg,2.0,right,2.9053,1.0,playground,playground_12.jpg,5.913242009,1.3352,AFOEARBOY26DU
46,AFOEARBOY26DU,35,Male,playground_76.jpg,playground_72.jpg,playground_76.jpg,right,playground_76.jpg,mountain_202.jpg,golf_course_316.jpg,badlands_201.jpg,bridge_238.jpg,highway_42.jpg,0.0,left,2.6786,1.0,playground,playground_72.jpg,6.936073059,2.0971,AFOEARBOY26DU
